Account,Project Name,Region,Practice,Project Manager,Start Date,End Date,Record ID
Redis Labs,Redis Benchmark,NATL,NoSQL,John Holshey,4/13/2015,5/22/2015,a1D70000002kAPb
"RGA, Inc.",RGA-Electronic Health Record Search (Elastic/Kibana)-Project,MW-STL,Enterprise Search,Sean Hall,9/21/2015,5/27/2016,a1D70000003UOZL
SAIC,NARA Annual Move 2014,DC,NoSQL,Niels Nielsen,8/3/2014,2/14/2015,a1D70000002Ipkq
SAIC,NARA DPE Analysis and Design,DC,,Niels Nielsen,2/2/2014,4/14/2014,a1D70000001Jz8C
SAIC,NARA MarkLogic Services,DC,,Niels Nielsen,8/25/2013,5/17/2014,a1D70000001Imwx
SAIC,SAIC-NARA Annual Move 2015,DC,NoSQL,Niels Nielsen,6/7/2015,3/31/2016,a1D70000002lfch
Scottsdale Health,SHC 2012 Support,NATL,,Chad Chatfield,1/1/2012,1/1/2012,a1D70000001ImxD
Securian,Securian-OpenText WEM 8.5 Development Support-Project,MW-MN,Big Data,Stu Nelson,10/4/2015,11/14/2015,a1D70000003UbKb
Securian,SOLR Search Assistance,MW-CHI,,Phil Favia,9/22/2014,12/31/2014,a1D70000002M5bV
Snap-on Inc.,Global Search,NATL,,Chad Chatfield,10/14/2013,11/21/2013,a1D70000001Imx7
Snap-on Inc.,Harry Staff Augmentation,NATL,,Chad Chatfield,3/25/2014,9/30/2014,a1D70000001KHPS
Snap-on Inc.,Highlander - Semantics,NATL,,Chad Chatfield,4/27/2014,8/29/2014,a1D70000001KcL4
Snap-on Inc.,Semantics - Kurt Staff Aug,NATL,,Chad Chatfield,4/21/2014,4/30/2014,a1D70000001KRhb
Snap-on Inc.,Snap-On Ontology Manager 2,NATL,NoSQL,Mike Green,1/26/2015,6/13/2015,a1D70000002ijJK
Snap-on Inc.,Suretrack,NATL,,Chad Chatfield,7/29/2013,12/31/2013,a1D70000001ImMr
St. Jude Children’s Research Hospital,St Jude - Jan-Mar15,NATL,Enterprise Web,Mike Green,1/4/2015,3/31/2015,a1D70000002iQLQ
St. Jude Children’s Research Hospital,St Jude - Jul-Aug14,NATL,Enterprise Web,Mike Green,7/1/2014,9/30/2014,a1D70000001KwnJ
St. Jude Children’s Research Hospital,St Jude - Oct-Dec14,NATL,Enterprise Web,Mike Green,9/29/2014,12/31/2014,a1D70000002M7Y8
St. Jude Children’s Research Hospital,St Jude Apr-Jun2015,NATL,Enterprise Web,Mike Green,4/1/2015,6/30/2015,a1D70000002k3zj
St. Jude Children’s Research Hospital,St Jude Genome,NATL,,Mike Green,10/6/2014,11/30/2014,a1D70000002MKDL
St. Jude Children’s Research Hospital,St Jude Jan-Mar2016,NATL,Enterprise Web,Mike Green,1/1/2016,4/1/2016,a1D39000003QuwC
